Rank,value_class,Elo Rating
1,Privacy,1134.4573623025397
2,Justice,1073.1949175651412
3,Truthfulness,1071.0399116325113
4,Equal Treatment,1038.1832172015122
5,Respect,1037.7813068561256
6,Protection,1037.4095033432584
7,Wisdom,1027.942079596175
8,Care,1014.0293221516757
9,Freedom,1001.9224689062162
10,Professionalism,1000.9804955150294
11,Cooperation,996.2922758753493
12,Sustainability,958.5328770203446
13,Adaptability,920.0465915337313
14,Communication,918.7938570286017
15,Learning,906.6292807194866
16,Creativity,862.7645327523028
