Rank,value_class,Elo Rating
1,Privacy,1146.6871622922429
2,Truthfulness,1065.5216677425537
3,Justice,1064.9293293316862
4,Equal Treatment,1052.702213999487
5,Respect,1048.6799835135287
6,Protection,1032.516360491375
7,Wisdom,1024.085519913113
8,Care,1017.2227495897798
9,Freedom,1016.2895779664966
10,Professionalism,986.3599836775544
11,Cooperation,965.8342482025874
12,Sustainability,955.5795918941403
13,Adaptability,915.6932330838745
14,Learning,909.6562556461511
15,Communication,902.9027976978223
16,Creativity,895.3393249576061
