Rank,value_class,Elo Rating
1,Justice,1129.935854644409
2,Truthfulness,1123.4818809863878
3,Care,1103.48440199416
4,Wisdom,1103.1662226263252
5,Respect,1082.3078079394213
6,Cooperation,1016.2842877436785
7,Sustainability,1004.6810811104676
8,Privacy,975.3706454325277
9,Freedom,972.3198184725372
10,Learning,960.5524475045395
11,Equal Treatment,950.6260048859326
12,Professionalism,942.7866540422165
13,Adaptability,941.3703035419467
14,Protection,930.4108222695463
15,Communication,929.5622153689493
16,Creativity,833.6595514369543
