Rank,value_class,Elo Rating
1,Truthfulness,1137.5509959811643
2,Wisdom,1136.5416082082647
3,Justice,1106.1885880484967
4,Care,1092.1617945880503
5,Sustainability,1073.5438758282578
6,Respect,1059.9580400993586
7,Equal Treatment,1029.3681293806883
8,Cooperation,1017.4030319976508
9,Adaptability,978.0800518375302
10,Privacy,960.725014000563
11,Learning,941.2120275228618
12,Professionalism,918.0570919876648
13,Communication,907.7363738202216
14,Creativity,884.4249836653188
15,Freedom,881.0948415203965
16,Protection,875.9535515135116
