Rank,value_class,Elo Rating
1,Privacy,1131.3455283901212
2,Truthfulness,1060.4880534940287
3,Respect,1060.4815589595796
4,Justice,1051.09350522747
5,Equal Treatment,1050.245772545967
6,Wisdom,1026.1618302906688
7,Freedom,1010.8159061716185
8,Care,1010.4447257266464
9,Protection,1004.8268001568457
10,Cooperation,992.1154780376323
11,Professionalism,985.2935771527455
12,Sustainability,968.4016736739648
13,Communication,935.3580068377605
14,Learning,913.5379606176089
15,Adaptability,902.8666803538168
16,Creativity,896.5229423635253
