Rank,value_class,Elo Rating
1,Privacy,1139.4284856500958
2,Justice,1069.537816178674
3,Truthfulness,1063.6366172364365
4,Equal Treatment,1051.7623868295289
5,Respect,1049.0514287159137
6,Protection,1031.433111419041
7,Wisdom,1026.6694338911418
8,Care,1016.9820016586208
9,Freedom,1015.2682153701498
10,Professionalism,987.0848265840726
11,Cooperation,970.1848445386025
12,Sustainability,950.6378222897273
13,Communication,911.0803953183889
14,Adaptability,910.7075167850202
15,Learning,909.0730049568657
16,Creativity,897.4620925777201
